code_barre,adresseLongitude,adresseLatitude,adresseLigne1,code_postal,region,commune,populationCommune,densite,niveau_de_vie,gareLaPlusProche,distanceGare,nombre_paiements,nombre_contacts,taux de transformation
PROX-BDB-1021-352778,4.75618,45.98593,429 RUE DU BEAUJOLAIS,1480.0,Auvergne-Rhône-Alpes,Jassans-Riottier,6458.0,3,21018.461538,Villefranche-sur-Saône,2.7164301642427016,27.0,60,45.0
PROX-BDB-1021-352779,4.77215,45.87342,58 LE PROMENOIR,69380.0,Auvergne-Rhône-Alpes,Chasselay,2849.0,2,28048.0,Quincieux,3.7288710256565616,3.0,10,30.0
PROX-BDB-1021-352780,5.73592,45.38687,26 AV JEAN JAURES,38380.0,Auvergne-Rhône-Alpes,Saint-Laurent-du-Pont,4624.0,2,20641.333333,St-Béron-La Bridoire,13.028286015313121,56.0,96,58.333333333333336
PROX-BDB-1021-352781,5.69385,45.17024,2 AV LOUIS ARMAND,38180.0,Auvergne-Rhône-Alpes,Seyssins,7791.0,4,26565.6,Grenoble,2.3409334458259115,11.0,42,26.190476190476193
PROX-BDB-1021-352782,4.99789,45.73261,8 PL DE LA REPUBLIQUE,69740.0,Auvergne-Rhône-Alpes,Genas,12941.0,3,26950.833333,St-Priest,7.100389258390785,16.0,105,15.238095238095239
PROX-BDB-1021-352783,5.04713,45.0505,7 AVENUE JEAN MOULIN,26100.0,Auvergne-Rhône-Alpes,Romans-sur-Isère,33832.0,3,17503.913043,Romans-Bourg-de-Péage,0.2586288480524267,7.0,35,20.0
PROX-BDB-1021-352784,7.11645,43.59109,431 AV JULES GREC,6600.0,Provence-Alpes-Côte d'Azur,Antibes,74161.0,4,21044.666667,Antibes,0.6202629578245246,42.0,85,49.411764705882355
PROX-BDB-1021-352785,3.07905,45.79263,79 RUE CHATEAUBRIAND,63100.0,Auvergne-Rhône-Alpes,Clermont-Ferrand,146632.0,4,18613.5,Clermont-Ferrand,2.2813003587688025,9.0,53,16.9811320754717
PROX-BDB-1021-352786,3.24856,45.79944,4 PL DE LA REPUBLIQUE,63430.0,Auvergne-Rhône-Alpes,Pont-du-Château,11736.0,3,21380.0,Pont-du-Château (FRET),1.3453544494060283,28.0,36,77.77777777777779
PROX-BDB-1021-352787,4.86643,45.77312,59 RUE GABRIEL PERI,69100.0,Auvergne-Rhône-Alpes,Villeurbanne,148754.0,4,18899.333333,Lyon-Part-Dieu,1.4798766326535422,20.0,67,29.850746268656714
